"","horse_id","horse_name","cluster"
"306",306,"My First Gal",6
"307",307,"Fiveinthemorning",3
"308",308,"Roses From Ben",7
"309",309,"Ziggy Is Zubby",5
"310",310,"Princess Alana",4
"311",311,"Benina",5
"312",312,"Irish Glitter",5
"313",313,"Lia Shivani",9
"314",314,"Gypsy Mama",7
"315",315,"Vinda Machine",6
"316",316,"Flat Out Funky",7
"317",317,"Devil's Flair",4
"318",318,"La Bella Chica",4
"319",319,"Weekend Forecast",7
"320",320,"Archumybaby",7
"321",321,"Sandy Belle",5
"322",322,"Overnegotiate",7
"323",323,"Woundwithhereyes",5
"324",324,"Milaya",5
"325",325,"Dreams Are Pazible",5
"326",326,"Tap Master",7
"327",327,"American Power",8
"328",328,"Dark N Cloudy",7
"329",329,"Missle Bomb",7
"330",330,"Threes Over Deuces",3
"331",331,"Joe's Smokin Gun",7
"332",332,"Warrens Vengeance",7
"333",333,"Tousled",3
"334",334,"Heartbustingirl",7
"335",335,"Midnitesalright",6
"336",336,"Shanghai Smile",3
"337",337,"I Took a Shot",8
"338",338,"Rattle the Stars",6
"339",339,"Margie Cat",6
"340",340,"Javelin",7
"341",341,"Flatexcel",7
"342",342,"Special Story",7
"343",343,"Ultimateenticement",4
"344",344,"Proximate to Power",6
"345",345,"Espresso Caliente",4
"346",346,"Southeast",3
"347",347,"Manifest Destiny",4
"348",348,"Spartiatis",3
"349",349,"Go Big Or Go Home",8
"350",350,"Mission Command",7
"351",351,"Regalian",7
"352",352,"Too Fast to Pass",4
"353",353,"Quai Voltaire",4
"354",354,"Francis Freud",7
"355",355,"Stoney Bennett",6
"356",356,"Mr. Dougie Fresh",6
"357",357,"House Limit",3
"358",358,"Allured",7
"359",359,"Vincento",6
"360",360,"Wine Not",3
"361",361,"Yamano Maker (JPN)",7
"362",362,"Felix in Fabula",1
"363",363,"Westerdale",9
"364",364,"Uncle Sigh",6
"365",365,"Honor Up",7
"366",366,"Syndergaard",7
"367",367,"Gold for the King",1
"368",368,"Morning Breez",7
"369",369,"Celtic Chaos",1
"370",370,"Royal Asset",4
"371",371,"Winston's Chance",7
"372",372,"Jewel Can Disco",5
"373",373,"Cross Multiply",6
"374",374,"Shook Em Up",4
"375",375,"Martini Lane",7
"376",376,"Flat Out Jayvien",7
"377",377,"Blue Skies Forever",6
"378",378,"Holycowits Patrick",5
"379",379,"Cool Crinoline",4
"380",380,"Theresa's Boy",7
"381",381,"Quintarelli",4
"382",382,"Soup Baby",6
"383",383,"American Mandate",7
"384",384,"Grumps Little Tots",7
"385",385,"Loverboy Lou",7
"386",386,"Deft",1
"387",387,"Stan the Man",4
"388",388,"Weather Wiz",7
"389",389,"Dothat Dance",3
"390",390,"Tusk",4
"391",391,"Coltandmississippi",4
"392",392,"Regal Quality",4
"393",393,"Ark in the Dark",7
"394",394,"Sharpe and Ready",3
"395",395,"Shamrock Kid",6
"396",396,"Shortlist",8
"397",397,"Our American Star",8
"398",398,"Magnetron",3
"399",399,"Rouxhere",5
"400",400,"I Saw It All",6
"401",401,"Center City",5
"402",402,"Wisecrack",6
"403",403,"Fortune's Boy",4
"404",404,"Forecaster",4
"405",405,"Triple Axel",8
"406",406,"Missionatthespa",7
"407",407,"Leap to Glory",6
"408",408,"Desert Lights",6
"409",409,"Hopper Dropper",4
"410",410,"Unsullied",6
"411",411,"Mickey T",7
"412",412,"Ten Twenty Nine",7
"413",413,"Mr. Massena",7
"414",414,"All Clear",4
"415",415,"Imvros Pride",3
"416",416,"Midnight Curfew",5
"417",417,"Pickle Rick",6
"418",418,"Erlich",7
"419",419,"Habitue",6
"420",420,"Binary",7
"421",421,"Kumar",6
"422",422,"Coast to Coast",6
"423",423,"Mental Model",6
"424",424,"Blindwillie McTell",6
"425",425,"Kadens Courage",7
"426",426,"Thorny Tale",7
"427",427,"Show Prince",7
"428",428,"Kazmania",7
"429",429,"Tiergan",7
"430",430,"Just Right",7
"431",431,"Funny Guy",6
"432",432,"Bydawnsearlylight",1
"433",433,"La Cat Warrior",3
"434",434,"Buss the Bell",1
"435",435,"Infield Is In",7
"436",436,"Wheresthebarber",3
"437",437,"Can Go",3
"438",438,"Bigsouljoel",7
"439",439,"There Goes Jose",4
"440",440,"Summer Punch",7
"441",441,"Love to Learn",7
"442",442,"Cool as You Like",7
"443",443,"My Victoria Rose",3
"444",444,"Blissful Breeze",6
"445",445,"Emblazoner",5
"446",446,"Thousand Percent",6
"447",447,"Trance",4
"448",448,"Rally Cap",4
"449",449,"Americano",7
"450",450,"Bustin to Be Loved",6
"451",451,"By the Sey Shore",3
"452",452,"Chicken Valley Rd",5
"453",453,"Equal the Score",6
"454",454,"There He Goes",4
"455",455,"Noble Behavior",7
"456",456,"Freudian Analyst",7
"457",457,"Shuffling Madness",3
"458",458,"Finn's Posse",4
"459",459,"Ridolfo",4
"460",460,"Potomac",7
"461",461,"Langdarma",7
"462",462,"Mills",1
"463",463,"Poshsky",6
"464",464,"Pretentious",4
"465",465,"In a Fog",6
"466",466,"Ok Honey",6
"467",467,"Analyze With Honor",5
"468",468,"Empress Sophia",5
"469",469,"Charming Cara",4
"470",470,"Tiztinabella",3
"471",471,"Emmy Knows",4
"472",472,"Where's Rudy",7
"473",473,"Much Trouble",6
"474",474,"Dr. Hipp",7
"475",475,"D'ambrosio",8
"476",476,"Local Edition",6
"477",477,"Danny California",8
"478",478,"Big Birthday",4
"479",479,"No Deal",7
"480",480,"Gypsy Janie",7
"481",481,"Shimmering Moon",6
"482",482,"Our Girl Abby",7
"483",483,"Devilish Romance",6
"484",484,"Hattie L",5
"485",485,"Questeq",1
"486",486,"Courageous Queen",7
"487",487,"American Mission",7
"488",488,"Malarkey",4
"489",489,"Wilburnmoney",3
"490",490,"Stars Wilburn",4
"491",491,"Fangirl",3
"492",492,"Gracetown",7
"493",493,"Enjoyitwhilewecan",4
"494",494,"Win the Shake",4
"495",495,"Shanghai Bonnie",6
"496",496,"Up At Dawn",3
"497",497,"Stokes",5
"498",498,"Incubator",4
"499",499,"Call Me",4
"500",500,"Sandy Lane",6
"501",501,"Take It to Scale",4
"502",502,"Aikenetta",3
"503",503,"Clairvoyant Lady",7
"504",504,"Annie Rocks",7
"505",505,"Cotton Candy Cutie",6
"506",506,"Figure It Out",6
"507",507,"Redouble",7
"508",508,"Tiz Her Way",6
"509",509,"Controllingthegold",6
"510",510,"Solid Wager",7
"511",511,"Skyler's Scramjet",6
"512",512,"Bal Harbour",7
"513",513,"Colonel Sharp",3
"514",514,"Miss Loyalty",7
"515",515,"Moment of Triumph",6
"516",516,"Princess Mikayah",6
"517",517,"Giant Ending",7
"518",518,"Little Nanny",7
"519",519,"Mercurian",2
"520",520,"Twofer",7
"521",521,"Four Freedoms",3
"522",522,"Mighty Zealous",3
"523",523,"Malibu Action",7
"524",524,"Daddy D T",6
"525",525,"Scarf It Down",7
"526",526,"Local Counsel",1
"527",527,"Here Comes Tommy",6
"528",528,"Broadway Bay",7
"529",529,"Fox Rules",7
"530",530,"Peter's Project",7
"531",531,"Calculated Risker",4
"532",532,"River Knight",4
"533",533,"Planet Trailblazer (BRZ)",4
"534",534,"Kenyan",7
"535",535,"Holy Week",7
"536",536,"Borsa Vento",4
"537",537,"Avast Matey",6
"538",538,"Midnight Entree",7
"539",539,"Brazen Prince",7
"540",540,"Bumperdoo",4
"541",541,"Tio Blas",7
"542",542,"Mid Day Image",7
"543",543,"Bridgetothefuture",4
"544",544,"American Wish",7
"545",545,"Lone Pioneer",1
"546",546,"Pretty Enuff",7
"547",547,"Elegant Jem",7
"548",548,"That's Smart",5
"549",549,"Beyond Discreet",1
"550",550,"Peaches and Spice",6
"551",551,"Mazmania",8
"552",552,"Fournineteen",5
"553",553,"Stirred Not Shakin",3
"554",554,"Bel Cuore",4
"555",555,"D's Sis",4
"556",556,"Gemini Witch",7
"557",557,"Boosted Ego",5
"558",558,"Mad Munnys",7
"559",559,"Crea's Bklyn Law",6
"560",560,"Bootlegger (FR)",4
"561",561,"Devine Entry",3
"562",562,"London House",4
"563",563,"The Big Lebanese",4
"564",564,"Bebe Banker",6
"565",565,"Pier Forty",7
"566",566,"Ventus",4
"567",567,"Clever Fellow",3
"568",568,"Ticked All Daboxes",8
"569",569,"Mrs. Crews",7
"570",570,"Ma Meatloaf",7
"571",571,"Jazzy J",6
"572",572,"Infatuation",4
"573",573,"Wild Type",3
"574",574,"Mimic",3
"575",575,"Forever Liesl",7
"576",576,"Sara Street",6
"577",577,"Total Control",7
"578",578,"Matty's Magnum",6
"579",579,"Sexy Reasons (ARG)",5
"580",580,"Enthrall",8
"581",581,"Evan's Nice Now",4
"582",582,"Minit Maus",1
"583",583,"Toddle House",5
"584",584,"Joansburntbiscuit",3
"585",585,"Party On Prospect",7
"586",586,"Seethisquick",7
"587",587,"Hot Sriracha",4
"588",588,"Broker's Reward",3
"589",589,"Power Boss",6
"590",590,"No No Noah",6
"591",591,"Aunt Babe",7
"592",592,"Cartwheel",4
"593",593,"Letmetakethiscall",7
"594",594,"Sing for Beauty",6
"595",595,"Spring Drama",4
"596",596,"It's My Catiecat",7
"597",597,"In Denile",3
"598",598,"Icy Maneuvers",5
"599",599,"Peggy Sue",7
"600",600,"Mickey Diamond",1
"601",601,"Dancingwthdaffodls",6
"602",602,"Swift Vengeance",3
"603",603,"Osheen",3
"604",604,"Friesing Waters",3
"605",605,"Sweet Breeze",4
"606",606,"Arewehavingfunyet",4
"607",607,"Driven by Speed",3
"608",608,"Havana Affair",4
"609",609,"Slam Chowder",5
"610",610,"Elizabeth Nicole",6
"611",611,"Southern Christmas",3
"612",612,"Preziosa",6
"613",613,"Caribbean Girl",5
"614",614,"Bettor Bank On It",6
"615",615,"Everything Pazible",7
"616",616,"Iron Fork",4
"617",617,"Coach Villa",6
"618",618,"Barrel of Stout",5
"619",619,"Threatlovesmidnite",7
"620",620,"No Hayne No Gayne",4
"621",621,"Out of Orbit",7
"622",622,"Puffery",7
"623",623,"Vip Nation",7
"624",624,"Dawn the Destroyer",7
"625",625,"Sower",3
"626",626,"Honor Way",7
"627",627,"Your Love",3
"628",628,"Yorkiepoo Princess",3
"629",629,"Miss Mimosa",3
"630",630,"Short Kakes",7
"631",631,"Silent Sonet",4
"632",632,"Golden Vale",7
"633",633,"Simona",4
"634",634,"Ouro Verde",3
"635",635,"Jacqueline D",4
"636",636,"Climb the Ladder",7
"637",637,"Catania Rose",7
"638",638,"You Promise",8
"639",639,"Ocean Conquest",6
"640",640,"Haul Anchor",6
"641",641,"Carthon",7
"642",642,"Fleet Irish",1
"643",643,"D Emcee",4
"644",644,"It's Mo Joke",5
"645",645,"Talespin",7
"646",646,"Nueva York",7
"647",647,"Dark Money",4
"648",648,"Quick Snap",8
"649",649,"Shelley Ann",5
"650",650,"Maiden Beauty",6
"651",651,"She Takes Charge",7
"652",652,"Lem Me Have It",7
"653",653,"Dirty Bird",7
"654",654,"Waving Flags",7
"655",655,"Malibu Mischief",6
"656",656,"Went With the Wind",4
"657",657,"Movie Score",7
"658",658,"She's a Lumberjane",6
"659",659,"L. A. Page",4
"660",660,"Big Paddy Brown",7
"661",661,"Lorcan",7
"662",662,"True Blue Giant",1
"663",663,"Seven Is Heaven",7
"664",664,"Judge Stanton",7
"665",665,"Gongheifatchoy",7
"666",666,"Amundson",7
"667",667,"Five Night Freddie",5
"668",668,"Chuckles",4
"669",669,"Breaking Boundary",4
"670",670,"Falsifier",6
"671",671,"Build to Suit",7
"672",672,"I'm an Ocala Dude",7
"673",673,"Fuel the Bern",7
"674",674,"Go Get the Munny",3
"675",675,"Franknjymme",3
"676",676,"Hitmewthurbestshot",3
"677",677,"Big Muddy",1
"678",678,"Slot",7
"679",679,"Metaphorical",1
"680",680,"Golden Giant",7
"681",681,"Mr. Buff",4
"682",682,"Sunny Ridge",1
"683",683,"Thebigfundamental",7
"684",684,"Hero's Welcome",7
"685",685,"Title Ready",7
"686",686,"No Distortion",7
"687",687,"Sparty Boy",4
"688",688,"Maimo",4
"689",689,"Eden Ridge",6
"690",690,"Asterisk",8
"691",691,"Causin' Trouble",6
"692",692,"Here Comes Helen",7
"693",693,"Saturdaynightfling",6
"694",694,"Saratoga Sass",5
"695",695,"Discount Diva",3
"696",696,"Tough Gold",5
"697",697,"That's Speightful",5
"698",698,"Gottahaveaholiday",6
"699",699,"Tales of Royalty",7
"700",700,"Sierra Sarah",5
"701",701,"California Night",6
"702",702,"Fillet of Sole",4
"703",703,"American Lincoln",4
"704",704,"Starship Zeus",7
"705",705,"Majid",7
"706",706,"Never Felt Better",6
"707",707,"Lucid Dream",5
"708",708,"Mucho Lucky",4
"709",709,"Deputy Zapper",1
"710",710,"Glencairn",2
"711",711,"Simma Cum Laude",6
"712",712,"Analyze the Odds",4
"713",713,"Five Star Bunt",7
"714",714,"P J Advantage",6
"715",715,"Wrong Ben",4
"716",716,"Votre Coeur",7
"717",717,"Trouble for Skylar",6
"718",718,"Viradia",7
"719",719,"Tiffany's Vision",5
"720",720,"Win With Pride",7
"721",721,"Runaway Lute",7
"722",722,"Take Your Place",4
"723",723,"Tommy T",9
"724",724,"Ujjayi",3
"725",725,"Miss Imperial",7
"726",726,"Dovey Lovey",7
"727",727,"Takecharge Mirella",7
"728",728,"Enliven",7
"729",729,"Sheza Diva",7
"730",730,"She's a Black Belt",4
"731",731,"Abraxan",4
"732",732,"Princess Pinky",6
"733",733,"Sandra's Mine",6
"734",734,"Sweet Blindness",7
"735",735,"Gattino Marrone",7
"736",736,"It's a Lovely Day",7
"737",737,"Deep Sea",4
"738",738,"Aristocratic",6
"739",739,"Forge",7
"740",740,"Adulation",5
"741",741,"Sam and Jax",5
"742",742,"Tiz Morning",6
"743",743,"Mythajacul",7
"744",744,"Givetheman a Cigar",7
"745",745,"Deputy Flag",6
"746",746,"Suremoney",6
"747",747,"Secret Lies",3
"748",748,"Filibustin",7
"749",749,"Hay Field",1
"750",750,"Estilo Femenino",3
"751",751,"Tanya's Gem",4
"752",752,"Seediskid",6
"753",753,"Bourbon Boy",7
"754",754,"Truly a Moon Shot",1
"755",755,"Clench",7
"756",756,"Ramblin' Ma'am",6
"757",757,"Finlee",4
"758",758,"Dazzling Speed",6
"759",759,"Ferncourt",8
"760",760,"Miss Gary Z",5
"761",761,"Youth Gone Wild",6
"762",762,"Mia Bella Rossa",7
"763",763,"Motagally",4
"764",764,"Southern Phantom",7
"765",765,"Stilts",7
"766",766,"Itgot Grandma",7
"767",767,"Halstaat",6
"768",768,"Lazarus Project",6
"769",769,"Gorelli",7
"770",770,"Cariba",3
"771",771,"Canarsie Girl",6
"772",772,"Solent",6
"773",773,"Team Win",6
"774",774,"Stonewalker",4
"775",775,"Joyful Frolic",3
"776",776,"Orbilicious",7
"777",777,"Kathy's Cause",7
"778",778,"Take It All Back",4
"779",779,"Wailin Josie",8
"780",780,"Too Many Tales",3
"781",781,"Easy Banker",6
"782",782,"Street Chamber",7
"783",783,"Bull Feathers",8
"784",784,"Abby Normal",7
"785",785,"Swaggerette",4
"786",786,"Hammerin Aamer",3
"787",787,"J S Bach",7
"788",788,"Sir Ballantine",7
"789",789,"Tour de Force",6
"790",790,"Caledonian",3
"791",791,"T Loves a Fight",7
"792",792,"Professor Snape",6
"793",793,"Zap Zap Zap",7
"794",794,"Old Upstart",1
"795",795,"Readyheartandsoul",3
"796",796,"Peculiar Sensation",7
"797",797,"Wage Acceleration",3
"798",798,"Phone Funky Munky",7
"799",799,"New York Hero",5
"800",800,"Tax",7
"801",801,"Not That Brady",6
"802",802,"Sir Winston",1
"803",803,"Admire",2
"804",804,"Moretti",4
"805",805,"Lucky Lee",7
"806",806,"Altesino",3
"807",807,"One More Tom",4
"808",808,"Shipsandgoods",5
"809",809,"Norma's Charm",7
"810",810,"Pecan Pattie",4
"811",811,"Running Violence",7
"812",812,"Stole E",3
"813",813,"Dillon Rocks",7
"814",814,"Brees Bayou",7
"815",815,"Dr Burt",7
"816",816,"El Fenomeno",1
"817",817,"Wicked Macho",5
"818",818,"Blue Belt",4
"819",819,"Kid Is Frosty",4
"820",820,"Harley Q",5
"821",821,"Color Chart",6
"822",822,"Two Graces",7
"823",823,"Disquiet",3
"824",824,"Sterling Beauty",6
"825",825,"Stonesintheroad",4
"826",826,"Take Me to Hardoon",5
"827",827,"Saratoga Style",7
"828",828,"Bustin Scones",8
"829",829,"Tappanzee",6
"830",830,"Ja's Malibu",6
"831",831,"Today Comes Once",7
"832",832,"Alphadora",7
"833",833,"First Forever",1
"834",834,"Dancing Slippers",1
"835",835,"Cholmondeley",4
"836",836,"Itsakeyper",5
"837",837,"Curlin Creek",7
"838",838,"Lutheran Rags",3
"839",839,"Mister Humor",3
"840",840,"Always Shopping",7
"841",841,"Filly Joel",4
"842",842,"Afleet Destiny",2
"843",843,"Miss Marilyn",3
"844",844,"Discreet Sister",7
"845",845,"Lady Banba",5
"846",846,"Getting Warmer",3
"847",847,"Floss Dancer",6
"848",848,"Destiny Over Fate",5
"849",849,"Shamrocked",7
"850",850,"Nolinski",7
"851",851,"Can'tweallgetalong",6
"852",852,"Air On Fire",4
"853",853,"Platinum Nugget",7
"854",854,"Smidge",8
"855",855,"Huracan",6
"856",856,"Big Engine",7
"857",857,"Light the Posse",7
"858",858,"Bad Guy",7
"859",859,"Celtic Mission",7
"860",860,"Jump for Joy",7
"861",861,"Exceed the Goal",4
"862",862,"Salty Smile",7
"863",863,"Kosciuszko",6
"864",864,"Southern King",7
"865",865,"Woodbury",6
"866",866,"Binkster",6
"867",867,"One River Place",6
"868",868,"Heavy Meddle",3
"869",869,"Exulting",7
"870",870,"Orpheus (ARG)",4
"871",871,"Big Thicket",7
"872",872,"Nobody Move",8
"873",873,"Lion Sleeps",8
"874",874,"Rockin Emmzy",3
"875",875,"Karabessa",4
"876",876,"Sister Emily",4
"877",877,"Fox Red",7
"878",878,"Union Wise",7
"879",879,"La Maquina Gris",7
"880",880,"Miss Emily's Smile",3
"881",881,"Trip Ups",6
"882",882,"Craigville Beach",7
"883",883,"Bronx Bomber",6
"884",884,"Bank Gala",6
"885",885,"Ravenbro",5
"886",886,"Daring Disguise",7
"887",887,"Opt",1
"888",888,"Carfullofmoonshine",5
