horse_id,horse_name,n_races_tracked_2019,n_races_2019,n_races_2020,n_races_2021,n_races_diff_2019,avg_race_dist_meters,avg_finishing_place,avg_ranking,avg_acceleration,avg_speed,avg_weight_carried,n_dnf,date_dnf_1,date_dnf_2,avg_total_race_strain,min_days_between_races,first_quartile_days_between_races,median_days_between_races,third_quartile_days_between_races,max_days_between_races,injury_track,injury_location,injury_surface_location,injury_details_reported,days_off_pre_injury,days_injury_to_race,injury_date,last_race_pre_injury,fatal,race_length_injury_meters,n_injury_type,injury_track_location_clean,if_injury_reported,dnf_from_injury,under_raced_2019,under_raced_2020,under_raced_2021,ever_under_raced
25,Bronx Sandman,1,NA,NA,NA,NA,1810.512,6,6,2.291968423217978,5.818958032154118,122,0,NA,NA,-3103.0413388607626,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
26,Carrera Cat,8,NA,NA,NA,NA,1307.592,2.75,1.8,2.171316609505222,5.024783803118762,122.875,0,NA,NA,-1266.609793297492,22,27.5,29,36,135,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
27,Gentle Annie,5,9,8,12,4,1287.4752,3.6,4.4,2.1150206757411922,4.098729997779473,122.8,0,NA,NA,-1050.0398931923708,22,25.75,28.5,32,38,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,TRUE,FALSE,TRUE
28,Passporttovictory,6,NA,NA,NA,NA,1324.356,3.666666666666667,4.666666666666667,2.161778307410285,4.169847026795938,122.5,1,2019-09-06,NA,-1410.2830956591447,21,38,50,56,83,Belmont,Racing,Main Track,Injury - Sesamoid,83,NA,2019-09-06,2019-06-15,Yes,1408.176,1,Backstretch,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
29,Miss Marion,1,NA,NA,NA,NA,1408.176,4,6,1.854552139816019,2.057665731603078,123,0,NA,NA,-2842.964720112711,NA,NA,NA,NA,NA,Belmont,Training,Training Track,Fracture - LF Cannon from fall,33,NA,2019-02-03,2019-01-01,Yes,NA,1,Homestretch,TRUE,NA,FALSE,FALSE,FALSE,FALSE
30,Scorpion Bowl,1,NA,NA,NA,NA,1408.176,5,3,1.817432143083865,1.741791815036025,123,0,NA,NA,-2405.150238132921,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
31,Southern Fried Fun,1,NA,NA,NA,NA,1408.176,6,1,1.3895244638104831,1.2699803207722675,121,0,NA,NA,-1599.4760374335044,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
32,Pinchbeck,5,NA,NA,NA,NA,1367.9424,5.6,4.2,1.970915267176009,4.555760834966321,122,0,NA,NA,-783.0979685905737,27,29.25,37.5,48.75,60,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
33,Stone Breaker,3,NA,NA,NA,NA,1207.008,1,2.6666666666666665,2.1023485278636382,5.309578488744431,119,0,NA,NA,-1455.1815730364106,22,34.75,47.5,60.25,73,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
34,Papa Jim,8,NA,NA,NA,NA,1345.3110000000001,3.125,5.375,2.103499676372707,6.210760369848073,119.5,0,NA,NA,-1659.9713767277049,15,19.5,21,24.5,48,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
35,Dr. Lloyd,4,NA,NA,NA,NA,1307.592,4.5,3.25,2.2831473569079273,5.540959620425976,121,1,2019-02-28,NA,-2303.2161677394015,25,29,33,69.5,106,Aqueduct,Racing,Main Track,"Vanned off, no injury reported",33,106,2019-02-28,2019-01-26,No,1609.34,1,Unknown,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
36,Dollarsforpennies,2,NA,NA,NA,NA,1408.176,3.5,5.5,2.1219055306210164,4.817404561027461,121.5,0,NA,NA,-995.116683898866,58,58,58,58,58,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
37,Simbasalltrouble,3,4,1,8,1,1374.6480000000001,5,8,2.3646448947677374,3.794869528485281,120.66666666666667,0,NA,NA,-1690.2690735954984,21,22,23,24,25,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,TRUE,TRUE,FALSE,TRUE
38,Straphanger,7,NA,NA,NA,NA,1321.961142857143,6.857142857142858,5,2.3183615734635135,6.012156531609222,119.42857142857143,0,NA,NA,-2423.1586641538916,12,15.25,27.5,67.5,81,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
39,Lettercarrierhenry,2,NA,NA,NA,NA,1156.716,5,3.5,2.042820083586653,5.195213751362175,120.5,0,NA,NA,-1694.3353636049055,81,81,81,81,81,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
40,Flat Calm,2,NA,NA,NA,NA,1307.592,3.5,4,1.9572667643223165,3.8338673785135393,122.5,0,NA,NA,-770.3438503408349,348,348,348,348,348,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
41,Timely Tradition,11,15,8,8,4,1271.016,3.090909090909091,4,2.089396309723359,5.177884796847068,122.63636363636364,0,NA,NA,-842.7919016895985,14,16.5,21.5,55,79,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
42,My Roxy Girl,14,15,8,12,1,1286.0382857142858,3.4285714285714284,3.6153846153846154,2.0537652090941214,5.069796555635441,121.85714285714286,0,NA,NA,-629.0474067767444,7,21,23,28,82,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
43,Fair Regis,12,13,11,11,1,1274.064,2.4166666666666665,3.3,2.228125268531923,5.01683874502602,121.5,0,NA,NA,-776.4531663054261,15,23,28,39.5,50,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
44,Baby Boss,3,3,2,6,0,1274.064,6,2,1.7772494711060092,5.123696777045753,120.66666666666667,0,NA,NA,-669.263919694155,24,68.5,113,157.5,202,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,TRUE,FALSE,FALSE,TRUE
45,Moondance Joy,13,NA,NA,NA,NA,1245.694153846154,3,3,2.1243430023487115,5.091576273596781,122.38461538461539,0,NA,NA,-1119.456263290043,11,18.5,26.5,29.75,51,Aqueduct,Racing,Main Track,Vanned off,36,NA,2019-11-07,2019-10-02,No,1207.008,1,After The Race,TRUE,NA,FALSE,FALSE,FALSE,FALSE
46,Ribbonite,4,NA,NA,NA,NA,1232.154,5,3.5,1.9525892866490093,2.0291378394877704,117,0,NA,NA,-1731.0673996577266,16,18.5,21,36.5,52,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
47,Mind Control,5,5,6,3,0,1488.6432,2.6,6.25,2.094727526936296,5.2687447579237965,122.8,0,NA,NA,-1102.9326560012653,28,54.25,65,69.5,77,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
48,Our Braintrust,3,NA,NA,NA,NA,1676.4,3.3333333333333335,3,2.0697023657221925,4.39855989647095,120,0,NA,NA,-704.2073396836776,32,75,118,161,204,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
49,Family Biz,14,18,11,10,4,1544.682857142857,4.071428571428571,3.083333333333333,2.013088499635792,4.470097179641633,119.57142857142857,0,NA,NA,-954.0225826036204,8,15,27,43,55,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
50,Gates of Dawn,2,NA,NA,NA,NA,1508.76,5.5,7,2.990134332340257,4.151534136270927,119,1,2019-02-09,NA,-1343.6800774477722,39,39,39,39,39,Aqueduct,Racing,Main Track,Vanned Off,39,NA,2019-02-09,2019-01-01,No,1408.176,1,Homestretch,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
51,Souper Jackpot,1,NA,NA,NA,NA,1609.344,5,NA,2.251101557275451,4.636863116402673,118,0,NA,NA,-641.1226563441472,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
52,Direct Order,6,7,8,9,1,1575.816,3.6666666666666665,3.8,2.112447617016395,3.817838702625959,120.5,1,2019-07-26,NA,-1534.1672149943838,26,29,35,39,77,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
53,Alright Alright,1,NA,NA,NA,NA,1207.008,1,7,1.891216041528887,1.9128955159316583,113,0,NA,NA,-474.7521680800683,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
54,For Pops,2,NA,NA,NA,NA,1207.008,3.5,4.5,1.8250837294466076,2.460504948973563,119.5,0,NA,NA,-851.7590492572133,33,33,33,33,33,Belmont,Training,Training Track,Unknown,23,NA,2019-02-26,2019-02-03,Yes,NA,1,Unknown,TRUE,NA,FALSE,FALSE,FALSE,FALSE
55,Bitumen,10,NA,NA,NA,NA,1398.1176,3.7,3.2,2.045670134532433,3.7136943639650966,118.5,0,NA,NA,-1117.0819865498966,14,28,30,33,126,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
56,The Great Samurai,3,NA,NA,NA,NA,1341.1200000000001,4.333333333333333,4.666666666666667,2.010687918128379,4.674971483160744,120.33333333333333,0,NA,NA,-799.9698152157364,12,20.5,29,37.5,46,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
57,Samadi Sky,10,NA,NA,NA,NA,1448.4096,4.4,4.111111111111111,1.9763818353877214,7.093984389561959,118.9,0,NA,NA,-998.7485184499782,13,17,25,29,102,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
58,Dancetrack,3,NA,NA,NA,NA,1240.536,3.3333333333333335,6,1.9324724849204549,3.153068344872934,122.33333333333333,0,NA,NA,-682.1753894196901,31,33.75,36.5,39.25,42,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
59,Conquest Prankster,2,NA,NA,NA,NA,1207.008,7,2,1.6404054682995475,4.747966025095046,124.5,0,NA,NA,-694.2453948694817,32,32,32,32,32,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
60,Crafty Concorde,1,NA,NA,NA,NA,1207.008,8,2,1.9816407942207823,2.1582909077105965,120,0,NA,NA,-1205.9367000744112,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
61,Fifty Eight O G,4,NA,NA,NA,NA,1181.862,7,6.5,1.883838615261504,3.580451775107999,120.5,0,NA,NA,-838.9061532789364,22,26.5,31,159.5,288,Aqueduct,Racing,Main Track,Vanned off,49,183,2020-01-26,2019-12-08,No,1207.008,1,After The Race,TRUE,NA,FALSE,FALSE,FALSE,FALSE
62,Excess Capacity,8,13,10,5,5,1445.895,3.5,3.1666666666666665,2.087472839868588,5.1871311340996025,120.25,0,NA,NA,-1508.5407255733353,16,37.5,48,65,92,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
63,Paynterbynumbers,3,NA,NA,NA,NA,1475.232,3,2.6666666666666665,2.0708507949999673,3.515708459396312,121,0,NA,NA,-1553.6335419119764,29,85,141,197,253,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
64,Fancy That,7,NA,NA,NA,NA,1810.512,3.142857142857143,4.142857142857143,2.0378947040074373,4.678100039913811,120.57142857142857,0,NA,NA,-1260.7550124177465,27,41.25,49,50,93,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
65,She'll Do,1,NA,NA,NA,NA,1609.344,4,2,1.8433166267612504,2.419484510615396,120,0,NA,NA,-1298.835820218027,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
66,Silk Assassin,1,NA,NA,NA,NA,1609.344,5,4,2.3842038595063006,0.8222335034261613,120,0,NA,NA,-1518.135951498684,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
67,Moon and Stars,1,NA,NA,NA,NA,1609.344,6,1,2.036560934381495,1.6473492895673665,115,0,NA,NA,-1430.8304498845444,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
68,Tikhvin Flew,5,NA,NA,NA,NA,1528.8768,4.4,4,2.611127533777997,5.67861681687358,119.2,0,NA,NA,-1330.2618075944158,28,33.25,35.5,63.75,147,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
69,Pulsate,8,8,4,6,0,1370.457,2.375,3.857142857142857,2.046305748805325,4.345643045387361,117.875,0,NA,NA,-844.9061952459818,30,40.5,50,55.5,66,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
70,Spun to Run,2,NA,NA,NA,NA,1508.76,2.5,4,2.16645135155447,7.168990410998686,120,0,NA,NA,-976.9457375495458,337,337,337,337,337,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
71,Classic Romeo,1,NA,NA,NA,NA,1408.176,4,6,2.26448016952681,7.1066296287224535,120,0,NA,NA,-917.5015651031182,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
72,U R Not So Bad,2,NA,NA,NA,NA,1357.884,3.5,4,2.147133254764098,7.472727444543915,120,0,NA,NA,-1221.2407217653783,50,50,50,50,50,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
73,Jake Rocks,5,5,7,10,0,1227.1248,4,4,1.9051214632234852,5.607589377111029,121,0,NA,NA,-662.1883015011927,9,15.75,41,105.5,230,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
74,Speed Khaleesi,4,NA,NA,NA,NA,1207.008,3.75,3.5,2.063946139874697,4.531257810532139,122.75,0,NA,NA,-763.2024214328956,23,25,27,30.5,34,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
75,Stay Good,1,NA,NA,NA,NA,1207.008,2,2,2.0576422088630917,2.299927497991072,123,0,NA,NA,-820.7607181207193,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
76,Caitriona,2,NA,NA,NA,NA,1156.716,6,4,2.224706671851291,2.4184668439376584,123.5,0,NA,NA,-1730.0178955187985,21,21,21,21,21,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
77,Diamond Jen Brady,3,NA,NA,NA,NA,1274.064,4.666666666666667,5,2.0102631942762534,2.2857566146432666,120.33333333333333,0,NA,NA,-446.6295845235997,36,37.5,39,40.5,42,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
78,Somethingwithlilly,1,NA,NA,NA,NA,1207.008,5,1,1.9528249343744608,2.755798868763124,111,0,NA,NA,-386.1880337275257,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
79,Aly's All Out,2,NA,NA,NA,NA,1257.3000000000002,5,4.5,1.9521491090332712,6.084961193653555,116,0,NA,NA,-689.9794834605716,135,135,135,135,135,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
80,Regal Retort,5,6,1,2,1,1327.7088,1.8,3.6,2.0758046492168116,3.9451073338052756,119.6,0,NA,NA,-974.7063037667358,22,25,37,52,64,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,TRUE,TRUE,FALSE,TRUE
81,Free Coffee,3,NA,NA,NA,NA,1441.704,3.6666666666666665,2.6666666666666665,2.053025165882009,4.687545189187446,118.66666666666667,0,NA,NA,-1149.2497574618408,48,48.25,48.5,48.75,49,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
82,Dizzy,3,NA,NA,NA,NA,1475.232,4.333333333333333,5,1.9162486925695854,6.198510937141774,120,0,NA,NA,-2721.541557866962,15,58.25,101.5,144.75,188,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
83,Whyisshesoolucky,11,14,17,7,3,1435.608,4,3.8,2.114507712947476,4.811971338418646,120.27272727272727,0,NA,NA,-1197.2139612871106,7,17,27.5,37.5,111,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
84,Stay Smart,5,5,1,1,0,1569.1104,3.6,2.5,2.0476789415092775,3.4222747457627483,121,0,NA,NA,-1373.1195252847435,15,23.25,41,104,248,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA,FALSE,FALSE,TRUE,TRUE
