horse_id,horse_name,n_races_tracked_2019,n_races_2019,n_races_2020,n_races_2021,n_races_diff_2019,avg_race_dist_meters,avg_finishing_place,avg_ranking,avg_acceleration,avg_speed,avg_weight_carried,n_dnf,date_dnf_1,date_dnf_2,avg_total_race_strain,min_days_between_races,first_quartile_days_between_races,median_days_between_races,third_quartile_days_between_races,max_days_between_races,injury_track,injury_location,injury_surface_location,injury_details_reported,days_off_pre_injury,days_injury_to_race,injury_date,last_race_pre_injury,fatal,race_length_injury_meters,n_injury_type,injury_track_location_clean,if_injury_reported,dnf_from_injury
18,Ladyberg,3,NA,NA,NA,NA,1173.48,5.666666666666667,4.333333333333333,1.4921005334224893,3.140837300940072,120.66666666666667,0,NA,NA,NA,11,20.5,30,39.5,49,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
19,T J's Rose Ella,4,NA,NA,NA,NA,1232.154,7.5,4.75,2.159897693555716,4.5915303344321075,120.5,0,NA,NA,59.47624678313889,19,19.5,20,20.5,21,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
20,Small Bear,2,NA,NA,NA,NA,1760.22,3.5,3,2.073939901782134,7.027369632599177,121,0,NA,NA,NA,275,275,275,275,275,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
21,Holiday Bonus,11,NA,NA,NA,NA,1783.08,5.2727272727272725,4.2727272727272725,1.9441843740793323,4.61591253494231,121.18181818181819,0,NA,NA,28.323901101916196,11,16.25,23,25.75,93,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
22,Backsideofthemoon,9,11,14,14,2,1676.4,3.4444444444444446,3.4444444444444446,2.040202461632446,5.08755998206349,121.66666666666667,0,NA,NA,34.71493697118132,21,30,41,54.25,84,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
23,Hit It Once More,7,NA,NA,NA,NA,1695.558857142857,4,2.4285714285714284,2.2268575810009503,4.997610322569692,120.57142857142857,0,NA,NA,28.40071000125567,8,21.5,24.5,32.75,37,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
24,Roaming Union,9,13,7,8,4,1810.512,3.2222222222222223,3.3333333333333335,2.243379264045596,5.924468242117543,121.44444444444444,0,NA,NA,17.639935359814032,26,31.5,42,51.25,79,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
25,Bronx Sandman,1,NA,NA,NA,NA,1810.512,6,6,2.2919684232179973,5.818958032154118,122,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
26,Carrera Cat,8,NA,NA,NA,NA,1307.592,2.75,1.8,2.171316609505222,5.024783803118762,122.875,0,NA,NA,NA,22,27.5,29,36,135,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
27,Gentle Annie,5,9,8,12,4,1287.4752,3.6,4.4,2.1150206757411945,4.098729997779473,122.8,0,NA,NA,NA,22,25.75,28.5,32,38,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
28,Passporttovictory,6,NA,NA,NA,NA,1324.356,3.666666666666667,4.666666666666667,2.161778307410288,4.16984702679593,122.5,1,2019-09-06,NA,NA,21,38,50,56,83,Belmont,Racing,Main Track,Injury - Sesamoid,83,NA,2019-09-06,2019-06-15,Yes,1408.176,1,Backstretch,TRUE,TRUE
29,Miss Marion,1,NA,NA,NA,NA,1408.176,4,6,1.854552139816019,2.057665731603078,123,0,NA,NA,NA,NA,NA,NA,NA,NA,Belmont,Training,Training Track,Fracture - LF Cannon from fall,33,NA,2019-02-03,2019-01-01,Yes,NA,1,Homestretch,TRUE,NA
30,Scorpion Bowl,1,NA,NA,NA,NA,1408.176,5,3,1.8174321430838745,1.741791815036025,123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
31,Southern Fried Fun,1,NA,NA,NA,NA,1408.176,6,1,1.3895244638104756,1.2699803207722902,121,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
32,Pinchbeck,5,NA,NA,NA,NA,1367.9424,5.6,4.2,1.9709152671760077,4.555760834966331,122,0,NA,NA,55.04010594182257,27,29.25,37.5,48.75,60,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
33,Stone Breaker,3,NA,NA,NA,NA,1207.008,1,2.6666666666666665,2.102348527863645,5.309578488744431,119,0,NA,NA,NA,22,34.75,47.5,60.25,73,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
34,Papa Jim,8,NA,NA,NA,NA,1345.3110000000001,3.125,5.375,2.1034996763727065,6.210760369848073,119.5,0,NA,NA,41.258248252766485,15,19.5,21,24.5,48,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
35,Dr. Lloyd,4,NA,NA,NA,NA,1307.592,4.5,3.25,2.2831473569079006,5.54095962042601,121,1,2019-02-28,NA,NA,25,29,33,69.5,106,Aqueduct,Racing,Main Track,"Vanned off, no injury reported",33,106,2019-02-28,2019-01-26,No,1609.34,1,Unknown,TRUE,TRUE
36,Dollarsforpennies,2,NA,NA,NA,NA,1408.176,3.5,5.5,2.121905530621024,4.8174045610274385,121.5,0,NA,NA,14.463791240089394,58,58,58,58,58,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
37,Simbasalltrouble,3,4,1,8,1,1374.6480000000001,5,8,2.364644894767736,3.7948695284852825,120.66666666666667,0,NA,NA,41.88452064315682,21,22,23,24,25,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
38,Straphanger,7,NA,NA,NA,NA,1321.961142857143,6.857142857142858,5,2.318361573463519,6.012156531609212,119.42857142857143,0,NA,NA,NA,12,15.25,27.5,67.5,81,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
39,Lettercarrierhenry,2,NA,NA,NA,NA,1156.716,5,3.5,2.042820083586653,5.195213751362175,120.5,0,NA,NA,NA,81,81,81,81,81,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
40,Flat Calm,2,NA,NA,NA,NA,1307.592,3.5,4,1.9572667643223165,3.8338673785135393,122.5,0,NA,NA,NA,348,348,348,348,348,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
41,Timely Tradition,11,15,8,8,4,1271.016,3.090909090909091,4,2.089396309723359,5.177884796847068,122.63636363636364,0,NA,NA,56.95336136654046,14,16.5,21.5,55,79,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
42,My Roxy Girl,14,15,8,12,1,1286.0382857142858,3.4285714285714284,3.6153846153846154,2.0537652090941183,5.0697965556354445,121.85714285714286,0,NA,NA,NA,7,21,23,28,82,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
43,Fair Regis,12,13,11,11,1,1274.064,2.4166666666666665,3.3,2.2281252685319286,5.016838745026014,121.5,0,NA,NA,NA,15,23,28,39.5,50,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
44,Baby Boss,3,3,2,6,0,1274.064,6,2,1.777249471106016,5.123696777045753,120.66666666666667,0,NA,NA,NA,24,68.5,113,157.5,202,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
45,Moondance Joy,13,NA,NA,NA,NA,1245.694153846154,3,3,2.1243430023487138,5.091576273596774,122.38461538461539,0,NA,NA,NA,11,18.5,26.5,29.75,51,Aqueduct,Racing,Main Track,Vanned off,36,NA,2019-11-07,2019-10-02,No,1207.008,1,After The Race,TRUE,NA
46,Ribbonite,4,NA,NA,NA,NA,1232.154,5,3.5,1.9525892866490002,2.0291378394877815,117,0,NA,NA,NA,16,18.5,21,36.5,52,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
47,Mind Control,5,5,6,3,0,1488.6432,2.6,6.25,2.094727526936296,5.268744757923797,122.8,0,NA,NA,32.45650036831403,28,54.25,65,69.5,77,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
48,Our Braintrust,3,NA,NA,NA,NA,1676.4,3.3333333333333335,3,2.0697023657221925,4.39855989647095,120,0,NA,NA,30.566286784091687,32,75,118,161,204,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
49,Family Biz,14,18,11,10,4,1544.682857142857,4.071428571428571,3.083333333333333,2.013088499635791,4.470097179641635,119.57142857142857,0,NA,NA,23.17789143568416,8,15,27,43,55,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
50,Gates of Dawn,2,NA,NA,NA,NA,1508.76,5.5,7,2.9901343323402556,4.151534136270927,119,1,2019-02-09,NA,13.171043788445926,39,39,39,39,39,Aqueduct,Racing,Main Track,Vanned Off,39,NA,2019-02-09,2019-01-01,No,1408.176,1,Homestretch,TRUE,TRUE
51,Souper Jackpot,1,NA,NA,NA,NA,1609.344,5,NA,2.251101557275451,4.636863116402673,118,0,NA,NA,-7.414893175122201,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
52,Direct Order,6,7,8,9,1,1575.816,3.6666666666666665,3.8,2.112447617016395,3.8178387026259633,120.5,1,2019-07-26,NA,7.715685128849069,26,29,35,39,77,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
53,Alright Alright,1,NA,NA,NA,NA,1207.008,1,7,1.891216041528887,1.9128955159316583,113,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
54,For Pops,2,NA,NA,NA,NA,1207.008,3.5,4.5,1.825083729446616,2.46050494897354,119.5,0,NA,NA,NA,33,33,33,33,33,Belmont,Training,Training Track,Unknown,23,NA,2019-02-26,2019-02-03,Yes,NA,1,Unknown,TRUE,NA
55,Bitumen,10,NA,NA,NA,NA,1398.1176,3.7,3.2,2.045670134532428,3.7136943639651,118.5,0,NA,NA,63.77482188673889,14,28,30,33,126,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
56,The Great Samurai,3,NA,NA,NA,NA,1341.1200000000001,4.333333333333333,4.666666666666667,2.01068791812838,4.674971483160742,120.33333333333333,0,NA,NA,45.99675508042715,12,20.5,29,37.5,46,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
57,Samadi Sky,10,NA,NA,NA,NA,1448.4096,4.4,4.111111111111111,1.976381835387725,7.0939843895619505,118.9,0,NA,NA,51.31387064386163,13,17,25,29,102,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
58,Dancetrack,3,NA,NA,NA,NA,1240.536,3.3333333333333335,6,1.9324724849204586,3.153068344872933,122.33333333333333,0,NA,NA,NA,31,33.75,36.5,39.25,42,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
59,Conquest Prankster,2,NA,NA,NA,NA,1207.008,7,2,1.6404054682995293,4.747966025095069,124.5,0,NA,NA,NA,32,32,32,32,32,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
60,Crafty Concorde,1,NA,NA,NA,NA,1207.008,8,2,1.9816407942207823,2.1582909077105965,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
61,Fifty Eight O G,4,NA,NA,NA,NA,1181.862,7,6.5,1.8838386152615083,3.5804517751079876,120.5,0,NA,NA,NA,22,26.5,31,159.5,288,Aqueduct,Racing,Main Track,Vanned off,49,183,2020-01-26,2019-12-08,No,1207.008,1,After The Race,TRUE,NA
62,Excess Capacity,8,13,10,5,5,1445.895,3.5,3.1666666666666665,2.0874728398685867,5.187131134099602,120.25,0,NA,NA,54.770270758725886,16,37.5,48,65,92,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
63,Paynterbynumbers,3,NA,NA,NA,NA,1475.232,3,2.6666666666666665,2.0708507949999673,3.5157084593963135,121,0,NA,NA,44.663162362864426,29,85,141,197,253,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
64,Fancy That,7,NA,NA,NA,NA,1810.512,3.142857142857143,4.142857142857143,2.0378947040074222,4.67810003991383,120.57142857142857,0,NA,NA,35.876185152085526,27,41.25,49,50,93,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
65,She'll Do,1,NA,NA,NA,NA,1609.344,4,2,1.8433166267612493,2.4194845106153977,120,0,NA,NA,37.030990171575475,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
66,Silk Assassin,1,NA,NA,NA,NA,1609.344,5,4,2.3842038595063,0.8222335034261627,120,0,NA,NA,35.2643618997808,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
67,Moon and Stars,1,NA,NA,NA,NA,1609.344,6,1,2.036560934381495,1.6473492895673665,115,0,NA,NA,37.297498306924986,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
68,Tikhvin Flew,5,NA,NA,NA,NA,1528.8768,4.4,4,2.611127533778005,5.6786168168735704,119.2,0,NA,NA,48.81339659187724,28,33.25,35.5,63.75,147,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
69,Pulsate,8,8,4,6,0,1370.457,2.375,3.857142857142857,2.046305748805328,4.345643045387361,117.875,0,NA,NA,22.63487930464911,30,40.5,50,55.5,66,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
70,Spun to Run,2,NA,NA,NA,NA,1508.76,2.5,4,2.1664513515544708,7.168990410998685,120,0,NA,NA,76.28474121653049,337,337,337,337,337,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
71,Classic Romeo,1,NA,NA,NA,NA,1408.176,4,6,2.26448016952681,7.1066296287224535,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
72,U R Not So Bad,2,NA,NA,NA,NA,1357.884,3.5,4,2.147133254764098,7.472727444543915,120,0,NA,NA,NA,50,50,50,50,50,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
73,Jake Rocks,5,5,7,10,0,1227.1248,4,4,1.9051214632234854,5.607589377111029,121,0,NA,NA,NA,9,15.75,41,105.5,230,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
74,Speed Khaleesi,4,NA,NA,NA,NA,1207.008,3.75,3.5,2.0639461398746883,4.531257810532151,122.75,0,NA,NA,NA,23,25,27,30.5,34,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
75,Stay Good,1,NA,NA,NA,NA,1207.008,2,2,2.0576422088630912,2.2999274979910727,123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
76,Caitriona,2,NA,NA,NA,NA,1156.716,6,4,2.224706671851301,2.4184668439376584,123.5,0,NA,NA,NA,21,21,21,21,21,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
77,Diamond Jen Brady,3,NA,NA,NA,NA,1274.064,4.666666666666667,5,2.010263194276256,2.285756614643259,120.33333333333333,0,NA,NA,NA,36,37.5,39,40.5,42,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
78,Somethingwithlilly,1,NA,NA,NA,NA,1207.008,5,1,1.9528249343744608,2.755798868763124,111,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
79,Aly's All Out,2,NA,NA,NA,NA,1257.3000000000002,5,4.5,1.9521491090332712,6.084961193653555,116,0,NA,NA,NA,135,135,135,135,135,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
80,Regal Retort,5,6,1,2,1,1327.7088,1.8,3.6,2.075804649216811,3.9451073338052756,119.6,0,NA,NA,NA,22,25,37,52,64,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
81,Free Coffee,3,NA,NA,NA,NA,1441.704,3.6666666666666665,2.6666666666666665,2.0530251658820093,4.687545189187445,118.66666666666667,0,NA,NA,34.127537189023094,48,48.25,48.5,48.75,49,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
82,Dizzy,3,NA,NA,NA,NA,1475.232,4.333333333333333,5,1.9162486925695847,6.198510937141775,120,0,NA,NA,56.23863059771847,15,58.25,101.5,144.75,188,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
83,Whyisshesoolucky,11,14,17,7,3,1435.608,4,3.8,2.1145077129474723,4.811971338418649,120.27272727272727,0,NA,NA,58.97178006999991,7,17,27.5,37.5,111,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
84,Stay Smart,5,5,1,1,0,1569.1104,3.6,2.5,2.0476789415092775,3.4222747457627487,121,0,NA,NA,42.2593271126506,15,23.25,41,104,248,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
85,Irish Banker,13,NA,NA,NA,NA,1245.6941538461538,4.538461538461538,4.083333333333333,2.180455552436631,5.567097385581189,115.53846153846153,0,NA,NA,NA,8,14,20,27.25,92,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
86,Miss Allison,2,NA,NA,NA,NA,1508.76,7,4,1.8803714460479948,6.195992308335239,120.5,0,NA,NA,68.70413250982256,55,55,55,55,55,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
87,Turco Bravo (CHI),9,NA,NA,NA,NA,1866.392,3.111111111111111,3.888888888888889,2.0510029660171356,4.90536700753153,123,0,NA,NA,NA,9,22.5,29.5,42.75,63,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
88,Let Me Go First,4,NA,NA,NA,NA,1936.242,4.75,3,2.1379092251292753,3.967320783029402,118.25,1,2019-03-30,NA,NA,23,24.5,26,31,36,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
89,Admiral Blue,6,NA,NA,NA,NA,1726.692,3.3333333333333335,4.6,2.0588603715312037,3.631349077860605,120.33333333333333,0,NA,NA,37.332224925986324,15,21,23,30,32,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
90,Halloween Horror,11,NA,NA,NA,NA,1673.352,3.5454545454545454,3.9,1.9545413676285326,5.549298441052158,118.0909090909091,0,NA,NA,27.54012309554236,15,17,22.5,30,62,Belmont,Racing,Main Track,Vanned off,23,NA,2019-09-25,2019-09-02,No,1709.92375,1,After The Race,TRUE,NA
91,Shamcat,7,NA,NA,NA,NA,1666.8205714285714,5.142857142857143,6.857142857142857,1.9031232334503134,5.020847209630741,122.42857142857143,0,NA,NA,33.75385796514145,7,15,21.5,28,55,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
92,Indian Guide,9,NA,NA,NA,NA,1385.824,3.888888888888889,5.444444444444445,1.9182543127771718,6.176588859046786,121.66666666666667,0,NA,NA,16.845130184299087,21,22,28,37.75,75,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
93,Outplay,4,NA,NA,NA,NA,1508.76,3.5,4,2.1614611197851827,5.4995718626704715,121.25,0,NA,NA,37.21003912404906,14,18.5,23,28,33,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
94,Dublinthepleasure,2,NA,NA,NA,NA,1609.344,4,3.5,2.038285421558661,4.6850520487449625,124,0,NA,NA,42.260181483410605,29,29,29,29,29,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
95,Shalako,11,NA,NA,NA,NA,1783.0800000000002,4.181818181818182,5.181818181818182,2.0291097476706685,4.725892135360722,121.72727272727273,0,NA,NA,35.942927676217884,17,23.75,31,45.5,53,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
96,Toohottoevenspeak,17,17,11,1,0,1485.0931764705883,4.9411764705882355,4.25,2.10034375056742,5.812993465508948,119.58823529411765,0,NA,NA,40.05716849899878,7,9,12,15.25,125,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
97,Its All Relevant,7,7,12,4,0,1580.6057142857144,2.2857142857142856,3.333333333333333,2.0428648915136374,6.382350024225142,122.42857142857143,0,NA,NA,45.03913989064086,20,24.25,28,32.5,218,NA,NA,NA,No Reported Injury,NA,NA,NA,NA,NA,NA,0,NA,FALSE,NA
